
[00:00:00.020 --> 00:00:03.600]  欢迎收听谷爱,我是星风公,本集节目由雨伞王赞助
[00:10:13.200 --> 00:10:14.300]  它这是Chardonnay
[00:10:14.300 --> 00:10:15.500]  2022年份的
[00:10:15.500 --> 00:10:16.740]  那这是一个
[00:10:16.740 --> 00:10:19.900]  比较那种小型的家族酒庄
[00:10:19.900 --> 00:10:21.300]  是用老藤去做的
[00:10:21.300 --> 00:10:23.060]  那它是用不锈钢槽
[00:10:23.060 --> 00:10:25.160]  加橡木桶去做配合
[00:10:25.160 --> 00:10:26.260]  大概可能是熟成的
[00:10:26.260 --> 00:10:27.600]  大概十个月左右
[00:10:27.600 --> 00:10:29.820]  那它的香气就是蛮典型的
[00:10:29.820 --> 00:10:30.760]  大家可能白酒
[00:10:30.760 --> 00:10:31.320]  会喜欢的
[00:10:31.320 --> 00:10:31.720]  像是什么
[00:10:31.720 --> 00:10:32.440]  青苹果
[00:10:32.440 --> 00:10:33.320]  白桃
[00:10:33.320 --> 00:10:35.280]  然后一点点的榛果
[00:10:35.280 --> 00:10:37.080]  然后有一点点的碎石
[00:10:37.080 --> 00:10:37.780]  后来才知道
[00:10:37.780 --> 00:10:38.780]  这个叫碎石
[00:10:38.780 --> 00:10:39.300]  因为像我之前
[00:10:39.300 --> 00:10:40.860]  就喝了一个双鸡的酒
[00:10:40.860 --> 00:10:42.540]  那时候还有一些长辈
[00:10:42.540 --> 00:10:42.940]  以为说
[00:10:42.940 --> 00:10:44.160]  这个酒可能是坏掉了
[00:10:44.160 --> 00:10:44.960]  因为怎么会这么黄
[00:10:44.960 --> 00:10:45.340]  然后我说
[00:10:45.340 --> 00:10:46.960]  闻起来超像鞭炮的味道
[00:10:46.960 --> 00:10:47.680]  然后后来来说
[00:10:47.680 --> 00:10:48.880]  这个鞭炮的味道
[00:10:48.880 --> 00:10:49.440]  就是他们后来
[00:10:49.440 --> 00:10:50.680]  把它称为是碎石
[00:10:50.680 --> 00:10:52.760]  或者说矿物的味道
[00:10:52.760 --> 00:10:54.300]  那以前有一个说法
[00:10:54.300 --> 00:10:55.260]  是说这种矿物的味道
[00:10:55.260 --> 00:10:56.360]  应该是在土壤里面
[00:10:56.360 --> 00:10:57.260]  有很多的
[00:10:57.260 --> 00:10:58.580]  可能石头或什么的
[00:10:58.580 --> 00:10:59.480]  然后酿出来就这样子
[00:10:59.480 --> 00:11:00.060]  那只是后来
[00:11:00.060 --> 00:11:00.840]  因为上次我去参加
[00:11:00.840 --> 00:11:01.340]  品酒会的时候
[00:11:01.340 --> 00:11:02.000]  里面有一个老师
[00:11:02.000 --> 00:11:03.160]  他就去做了很多的说明
[00:11:03.160 --> 00:11:03.600]  他说最后面
[00:11:03.600 --> 00:11:04.180]  他们有发现说
[00:11:04.180 --> 00:11:04.620]  那个味道
[00:11:04.620 --> 00:11:05.620]  其实不是说什么
[00:11:05.620 --> 00:11:07.460]  葡萄可以去从土壤里面
[00:11:07.460 --> 00:11:08.620]  吸到那些石头的味道
[00:11:08.620 --> 00:11:09.520]  它是没有办法的
[00:11:09.520 --> 00:11:10.120]  它可能是
[00:11:10.120 --> 00:11:11.360]  发酵的时候
[00:11:11.360 --> 00:11:13.340]  会产生那样子的一个味道
[00:11:13.340 --> 00:11:13.980]  那总之呢
[00:11:13.980 --> 00:11:14.700]  这个我觉得应该是
[00:11:14.700 --> 00:11:16.320]  蛮多人都会喜欢的
[00:11:16.320 --> 00:11:17.120]  用一个超级便宜
[00:11:17.120 --> 00:11:17.800]  几百块的价格
[00:11:17.800 --> 00:11:19.420]  就可以当成是一个配餐
[00:11:19.420 --> 00:11:20.120]  可能还配海鲜
[00:11:20.120 --> 00:11:20.680]  这样蛮适合
[00:11:20.680 --> 00:11:22.060]  其实在还蛮顺口的
[00:11:22.060 --> 00:11:22.380]  Chardonnay
[00:11:22.380 --> 00:11:22.920]  是一个
[00:11:22.920 --> 00:11:24.860]  就是可能可以参考的选项
[00:11:24.860 --> 00:11:25.560]  那最后一个是
[00:11:25.560 --> 00:11:27.440]  Matoa Sauvignon Blanc
[00:11:27.440 --> 00:11:28.740]  那这个就是一个
[00:11:28.740 --> 00:11:30.080]  我觉得绝大多数人
[00:11:30.080 --> 00:11:31.440]  一定都会喜欢的东西
[00:11:31.440 --> 00:11:32.400]  就如果正要入门的话
[00:11:32.400 --> 00:11:33.300]  用这个应该是最简单
[00:11:33.300 --> 00:11:34.200]  因为它酒味没有很重
[00:11:34.200 --> 00:11:34.980]  那就把它冰到冰箱
[00:11:34.980 --> 00:11:35.860]  就让它很冰就对
[00:11:35.860 --> 00:11:36.780]  你不要屌它说什么
[00:11:36.780 --> 00:11:38.340]  12度 14度
[00:11:38.340 --> 00:11:38.520]  不用
[00:11:38.520 --> 00:11:40.020]  就是让它变超冰的喝
[00:11:40.020 --> 00:11:41.060]  就不会有问题
[00:11:41.060 --> 00:11:41.900]  那它的香味
[00:11:41.900 --> 00:11:42.900]  就是非常的
[00:11:42.900 --> 00:11:44.140]  怎么讲
[00:11:44.140 --> 00:11:45.140]  就是我觉得绝大多数人
[00:11:45.140 --> 00:11:45.620]  会喜欢的
[00:11:45.620 --> 00:11:46.820]  就那种像美酒的感觉
[00:11:46.820 --> 00:11:48.160]  什么可能一些柠檬
[00:11:48.160 --> 00:11:49.740]  一些青草味
[00:11:49.740 --> 00:11:51.180]  然后再来就是水果
[00:11:51.180 --> 00:11:51.840]  百香果什么
[00:11:51.840 --> 00:11:52.220]  这个你
[00:11:52.220 --> 00:11:53.200]  你都会感觉到
[00:11:53.200 --> 00:11:54.320]  酸度高又很干净
[00:11:54.320 --> 00:11:54.740]  可是呢
[00:11:54.740 --> 00:11:56.100]  它有一个小缺点
[00:11:56.100 --> 00:11:57.240]  就是它放一段时间
[00:11:57.240 --> 00:11:58.060]  它就会
[00:11:58.060 --> 00:11:59.440]  就类似那种老薄跟地羊
[00:11:59.440 --> 00:12:00.440]  那味道很快就会散掉
[00:12:00.440 --> 00:12:01.040]  但是呢
[00:12:01.040 --> 00:12:02.040]  就是如果说你刚开瓶
[00:12:02.040 --> 00:12:03.140]  直接冰冰的下去
[00:12:03.140 --> 00:12:03.780]  我觉得这个应该是
[00:12:03.780 --> 00:12:04.380]  蛮多人会
[00:12:04.380 --> 00:12:06.220]  在夏天可以做的一个选项
[00:12:06.220 --> 00:12:06.940]  就你不要想太多
[00:12:06.940 --> 00:12:07.780]  麻烦就是骂便宜
[00:12:07.780 --> 00:12:08.640]  就直接把它拿来灌
[00:12:08.640 --> 00:12:09.220]  这是OK的
[00:12:09.220 --> 00:12:10.400]  所以以上就是我在
[00:12:10.400 --> 00:12:12.220]  全联的一些小发现
[00:12:12.220 --> 00:12:13.060]  那当然不要在后面
[00:12:13.060 --> 00:12:14.180]  就立刻在叫我说什么
[00:12:14.180 --> 00:12:14.800]  已经有人问说
[00:12:14.800 --> 00:12:15.560]  你去美联社
[00:12:15.560 --> 00:12:16.580]  因为我之前po线动
[00:12:16.580 --> 00:12:17.960]  你去美联社啦
[00:12:17.960 --> 00:12:18.720]  然后你去
[00:12:18.720 --> 00:12:19.840]  什么家乐福
[00:12:19.840 --> 00:12:20.580]  或者说
[00:12:20.580 --> 00:12:21.160]  好市多
[00:12:21.160 --> 00:12:21.920]  那有空再去
[00:12:21.920 --> 00:12:22.280]  因为我家
[00:12:22.280 --> 00:12:23.460]  就像我刚才前面讲的
[00:12:23.460 --> 00:12:25.060]  那个list是太长了
[00:12:25.060 --> 00:12:25.220]  所以
[00:12:25.220 --> 00:12:27.100]  对或许之后有空
[00:12:27.100 --> 00:12:28.220]  气氛对再来试试看看
[00:12:28.220 --> 00:12:29.420]  但我觉得蛮有趣的
[00:12:29.420 --> 00:12:30.560]  说听众给我出一个任务
[00:12:30.560 --> 00:12:31.120]  我也没有想过
[00:12:31.120 --> 00:12:32.240]  说我可以这样去做尝试
[00:12:32.240 --> 00:12:32.960]  那总之呢
[00:12:32.960 --> 00:12:34.760]  就是一个蛮有趣的发现
[00:12:34.760 --> 00:12:35.800]  在这边稍微的
[00:12:35.800 --> 00:12:37.560]  跟大家简单分享一下
[00:12:37.560 --> 00:12:38.800]  那希望大家
[00:12:38.800 --> 00:12:39.700]  饮酒要适量
[00:12:39.700 --> 00:12:40.920]  未成年人不要乱喝酒
[00:12:40.920 --> 00:12:41.340]  大概这样
[00:12:41.340 --> 00:12:42.240]  那接下来我们
[00:12:42.240 --> 00:12:43.400]  进入我们今天节目的话题
[00:12:43.400 --> 00:12:44.100]  那今天的盘面
[00:12:44.100 --> 00:12:45.840]  应该让蛮多人很有感觉
[00:12:45.840 --> 00:12:46.540]  至少我自己
[00:12:46.540 --> 00:12:48.600]  也开始去吃了一些回档
[00:12:48.600 --> 00:12:50.040]  但并没有觉得说
[00:12:50.040 --> 00:12:51.340]  有很大的伤害
[00:12:51.340 --> 00:12:51.960]  因为这一波
[00:12:51.960 --> 00:12:54.140]  从上次修正的低点
[00:12:54.140 --> 00:12:55.880]  就差不多六月的上旬
[00:12:55.880 --> 00:12:56.980]  最低大概是摸到
[00:12:56.980 --> 00:12:57.820]  四万两千点嘛
[00:12:57.820 --> 00:12:58.540]  然后后来喷到了
[00:12:58.540 --> 00:12:59.620]  四万八千多点
[00:12:59.620 --> 00:13:01.000]  所以又是短短的时间内
[00:13:01.000 --> 00:13:02.100]  就拉了六千多点
[00:13:02.100 --> 00:13:04.340]  那现在稍微的拉回了
[00:13:04.340 --> 00:13:05.480]  甚至连一些主要的军线
[00:13:05.480 --> 00:13:06.220]  都还没有跌破
[00:13:06.220 --> 00:13:07.820]  所以感觉就是可能
[00:13:07.820 --> 00:13:09.880]  创新高州的一个休息
[00:13:09.880 --> 00:13:10.780]  那当然有些人
[00:13:10.780 --> 00:13:11.520]  可能会把这个视为
[00:13:11.520 --> 00:13:12.320]  是一个假突破
[00:13:12.320 --> 00:13:13.180]  但这样看
[00:13:13.180 --> 00:13:14.080]  其实是不对的
[00:13:14.080 --> 00:13:15.560]  所以假突破可能是
[00:13:15.560 --> 00:13:17.440]  今天已经是盘整盘了
[00:13:17.440 --> 00:13:18.220]  很长的一段时间
[00:13:18.220 --> 00:13:19.560]  然后突然间拉上去
[00:13:19.560 --> 00:13:20.600]  接着直接灌破
[00:13:20.600 --> 00:13:21.520]  往下又再破底
[00:13:21.520 --> 00:13:23.040]  这个才会算是一个假突破
[00:13:23.040 --> 00:13:24.460]  那以现在的这个状况
[00:13:24.460 --> 00:13:25.400]  看起来比较像是说
[00:13:25.400 --> 00:13:26.440]  就是涨多拉回
[00:13:26.440 --> 00:13:27.760]  因为前面从四万二拉上来
[00:13:27.760 --> 00:13:28.940]  也是直接又拉了六千点
[00:13:28.940 --> 00:13:30.420]  所以这个盘是非常恐怖的
[00:13:30.420 --> 00:13:31.640]  说不定后面休息一下之后
[00:13:31.640 --> 00:13:33.300]  又再继续的往上喷折
[00:13:33.300 --> 00:13:33.900]  很难讲
[00:13:33.900 --> 00:13:35.740]  那这一波当然大家会想要
[00:13:35.740 --> 00:13:37.280]  去找一些下跌的理由
[00:13:37.280 --> 00:13:38.120]  有人说可能是
[00:13:38.120 --> 00:13:39.280]  美银发了一个报告
[00:13:39.280 --> 00:13:40.520]  说升息会升三次
[00:13:40.520 --> 00:13:41.240]  什么有的没有的
[00:13:41.240 --> 00:13:42.440]  但是我自己觉得
[00:13:42.440 --> 00:13:43.900]  触发点可能是
[00:13:43.900 --> 00:13:45.180]  韩国郎造成的
[00:13:45.180 --> 00:13:46.140]  因为韩国人
[00:13:46.140 --> 00:13:46.940]  大家都知道说
[00:13:46.940 --> 00:13:47.960]  他们的指数下
[00:13:47.960 --> 00:13:48.920]  已经变成像是那种
[00:13:48.920 --> 00:13:50.300]  全民大赌场的感觉
[00:13:50.300 --> 00:13:52.060]  那韩国人他们很厉害的点是说
[00:13:52.060 --> 00:13:53.840]  他们并不是只会影响到
[00:13:53.840 --> 00:13:54.940]  自己国内的人
[00:13:54.940 --> 00:13:56.280]  他们会跑到外面
[00:13:56.280 --> 00:13:57.440]  像之前去搞Tesla
[00:13:57.440 --> 00:13:58.340]  去搞Pantheon
[00:13:58.340 --> 00:14:00.220]  或是搞一些鬼谷小票
[00:14:00.220 --> 00:14:01.500]  或是Wall Street Bets
[00:14:01.500 --> 00:14:02.760]  上面的一些标的
[00:14:02.760 --> 00:14:03.820]  加密货币什么
[00:14:03.820 --> 00:14:04.500]  反正每次只要
[00:14:04.500 --> 00:14:05.580]  韩国人群聚的地方
[00:14:05.580 --> 00:14:07.320]  后面就是很容易会有
[00:14:07.320 --> 00:14:08.740]  那种瞬间的爆炸产生
[00:14:08.740 --> 00:14:09.700]  那这个瞬间爆炸
[00:14:09.700 --> 00:14:10.320]  怎么产生呢
[00:14:10.320 --> 00:14:11.020]  我今天刚好早上
[00:14:11.020 --> 00:14:12.120]  在跟一些朋友聊天的时候
[00:14:12.120 --> 00:14:13.220]  就说其实这一波
[00:14:13.220 --> 00:14:14.140]  有点像是那时候
[00:14:14.140 --> 00:14:15.420]  Archegos爆仓的时候
[00:14:15.420 --> 00:14:16.300]  大家不知道还记不记得
[00:14:16.300 --> 00:14:17.360]  Archegos比欧皇
[00:14:17.360 --> 00:14:18.880]  那时候跟大家介绍这个故事
[00:14:18.880 --> 00:14:20.020]  那他也是含义的
[00:14:20.020 --> 00:14:21.360]  那反正总之就是
[00:14:21.360 --> 00:14:22.260]  他用大量的杠杆
[00:14:22.260 --> 00:14:23.040]  去搞一些标的
[00:14:23.040 --> 00:14:23.820]  然后最后面呢
[00:14:23.820 --> 00:14:24.880]  因为有一些标的爆炸
[00:14:24.880 --> 00:14:25.460]  就连带的
[00:14:25.460 --> 00:14:26.280]  他可能就要疯狂的
[00:14:26.280 --> 00:14:27.100]  去砍仓一些东西
[00:14:27.100 --> 00:14:28.880]  然后就去触发一个连锁效应
[00:14:28.880 --> 00:14:30.500]  那一个人就有可能
[00:14:30.500 --> 00:14:31.600]  会造成这样子的影响
[00:14:31.600 --> 00:14:32.660]  像说韩国一堆
[00:14:32.660 --> 00:14:34.720]  然后再买那种杠杆ETF
[00:14:34.720 --> 00:14:35.680]  买到爆炸的
[00:14:35.680 --> 00:14:36.640]  他们确实是有机会
[00:14:36.640 --> 00:14:37.260]  会造成一些那种
[00:14:37.260 --> 00:14:38.060]  全球性的影响
[00:14:38.060 --> 00:14:39.380]  所以我的体感
[00:14:39.380 --> 00:14:40.400]  是比较偏向说
[00:14:40.400 --> 00:14:41.440]  感觉是韩国那边
[00:14:41.440 --> 00:14:42.860]  先开始大爆跌之后
[00:14:42.860 --> 00:14:44.160]  然后后来全球的一些市场
[00:14:44.160 --> 00:14:45.000]  就跟着被影响
[00:14:45.000 --> 00:14:46.380]  那甚至在台湾这边
[00:14:46.380 --> 00:14:46.780]  有些人讲说
[00:14:46.780 --> 00:14:47.600]  什么韩国股市在跌
[00:14:47.600 --> 00:14:48.180]  可是我心中想到
[00:14:48.180 --> 00:14:48.920]  韩国股市在跌
[00:14:48.920 --> 00:14:49.780]  到底干我们屁事
[00:14:49.780 --> 00:14:51.080]  但可能就是有一些那种
[00:14:51.080 --> 00:14:52.440]  心情上会联动吧
[00:14:52.440 --> 00:14:53.080]  看到一些那种
[00:14:53.080 --> 00:14:54.700]  韩国的大型巨头
[00:14:54.700 --> 00:14:55.840]  突然间那边吊摔
[00:14:55.840 --> 00:14:56.640]  然后装着指数
[00:14:56.640 --> 00:14:57.540]  出现一些熔断
[00:14:57.540 --> 00:14:59.040]  有些人可能就觉得紧张
[00:14:59.040 --> 00:15:00.140]  就想要把东西丢出来
[00:15:00.140 --> 00:15:01.020]  但我自己觉得
[00:15:01.020 --> 00:15:02.020]  这一波并没有找到
[00:15:02.020 --> 00:15:03.780]  一些solid的理由去解释
[00:15:03.780 --> 00:15:04.680]  老实讲
[00:15:04.680 --> 00:15:05.600]  我们的听众都知道
[00:15:05.600 --> 00:15:06.380]  我们在下跌的时候
[00:15:06.380 --> 00:15:07.220]  不用花太多时间
[00:15:07.220 --> 00:15:08.140]  去解释为什么下跌
[00:15:08.140 --> 00:15:09.180]  因为你解释了半天
[00:15:09.180 --> 00:15:10.220]  后面V上来
[00:15:10.220 --> 00:15:10.860]  你就是把自己的脸
[00:15:10.860 --> 00:15:11.620]  打到烂掉
[00:15:11.620 --> 00:15:13.900]  像是可能在6月上旬的
[00:15:13.900 --> 00:15:14.800]  这一波回档
[00:15:14.800 --> 00:15:15.900]  那时候也是一堆人
[00:15:15.900 --> 00:15:16.640]  跟你一堆说法
[00:15:16.640 --> 00:15:17.780]  讲了半天
[00:15:17.780 --> 00:15:18.480]  你现在就回头
[00:15:18.480 --> 00:15:19.120]  看他们的说法
[00:15:19.120 --> 00:15:20.340]  你不觉得说就很好笑吗
[00:15:20.340 --> 00:15:21.560]  就是为父心持强说仇
[00:15:21.560 --> 00:15:22.580]  就是明明就没有事情
[00:15:22.580 --> 00:15:23.520]  然后你硬要把它讲得
[00:15:23.520 --> 00:15:24.340]  很严重
[00:15:24.340 --> 00:15:25.460]  那当然其实每个人
[00:15:25.460 --> 00:15:26.380]  都一定会对市场
[00:15:26.380 --> 00:15:27.580]  有一些评论或是看法
[00:15:27.580 --> 00:15:28.020]  这我意思说
[00:15:28.020 --> 00:15:29.720]  就是不要把话踩死
[00:15:29.720 --> 00:15:30.520]  因为终究
[00:15:30.520 --> 00:15:31.540]  你就是在市场里面
[00:15:31.540 --> 00:15:32.280]  要持续的做多
[00:15:32.280 --> 00:15:33.000]  你才会赚到钱
[00:15:33.000 --> 00:15:34.540]  终究是要这样子
[00:15:34.540 --> 00:15:35.720]  所以就是每次的修正
[00:15:35.720 --> 00:15:36.280]  你可以稍微的
[00:15:36.280 --> 00:15:37.020]  去做一些调整
[00:15:37.020 --> 00:15:37.720]  你可以稍微的
[00:15:37.720 --> 00:15:38.640]  去找一些理由
[00:15:38.640 --> 00:15:40.100]  来自驾一下自己的逻辑
[00:15:40.100 --> 00:15:41.780]  可千万不要因为这样子
[00:15:41.780 --> 00:15:43.100]  然后满手放空
[00:15:43.100 --> 00:15:43.960]  因为满多人这样做
[00:15:43.960 --> 00:15:45.360]  你就想过去的几年
[00:15:45.360 --> 00:15:46.460]  绩效一定都不是太好
[00:15:46.460 --> 00:15:47.920]  总之我会觉得说
[00:15:47.920 --> 00:15:49.100]  这波没有办法找到
[00:15:49.100 --> 00:15:50.580]  一个像样的修正理由
[00:15:50.580 --> 00:15:51.200]  比较平常的时候
[00:15:51.200 --> 00:15:52.100]  可能就是涨多的
[00:15:52.100 --> 00:15:53.380]  一个拉回休息
[00:15:53.380 --> 00:15:54.840]  拉回的幅度也很大
[00:15:54.840 --> 00:15:55.720]  可是也不要忘记
[00:15:55.720 --> 00:15:56.540]  上去也很多
[00:15:56.540 --> 00:15:57.820]  上去了6000点
[00:15:57.820 --> 00:15:58.980]  所以这样下来一下
[00:15:58.980 --> 00:15:59.800]  还OK
[00:15:59.800 --> 00:16:01.180]  那在过去的几天
[00:16:01.180 --> 00:16:02.780]  我自己也产生一些想法
[00:16:02.780 --> 00:16:03.860]  我第一个想法就是说
[00:16:03.860 --> 00:16:05.040]  会不会大家终于要
[00:16:05.040 --> 00:16:06.080]  就是密底刮
[00:16:06.080 --> 00:16:07.680]  可能要往台积电里面去跑
[00:16:07.680 --> 00:16:08.200]  因为在过去
[00:16:08.200 --> 00:16:09.000]  我们有注意到
[00:16:09.000 --> 00:16:10.320]  就是数个交易日
[00:16:10.320 --> 00:16:11.220]  像是被动元件
[00:16:11.220 --> 00:16:12.320]  或是功率元件
[00:16:12.320 --> 00:16:13.780]  都开始出现了一些回荡
[00:16:13.780 --> 00:16:14.940]  但今天被动元件
[00:16:14.940 --> 00:16:17.160]  又再一次的又转强了
[00:16:17.160 --> 00:16:17.980]  像是国巨
[00:16:17.980 --> 00:16:18.980]  基本上这波修正
[00:16:18.980 --> 00:16:20.060]  跟没有跌到一样
[00:16:20.060 --> 00:16:21.760]  然后其他的一些被动元件
[00:16:21.760 --> 00:16:23.760]  其实都是相对的强势
[00:16:23.760 --> 00:16:24.920]  在整个盘面来讲
[00:16:24.920 --> 00:16:25.780]  那功率元件
[00:16:25.780 --> 00:16:26.980]  就在过去已经喷一阵子
[00:16:26.980 --> 00:16:27.960]  然后最近的两天
[00:16:27.960 --> 00:16:29.020]  也开始出现休息
[00:16:29.020 --> 00:16:30.100]  可是整体来看
[00:16:30.100 --> 00:16:30.760]  他们的形态
[00:16:30.760 --> 00:16:32.040]  都还是非常漂亮的
[00:16:32.040 --> 00:16:33.880]  一个多头的结构
[00:16:33.880 --> 00:16:35.740]  那所以自己是不会觉得说
[00:16:35.740 --> 00:16:36.220]  这种东西
[00:16:36.220 --> 00:16:37.900]  我必须要把它清藏掉
[00:16:37.900 --> 00:16:39.300]  就只因为有一个小回荡产生
[00:16:39.300 --> 00:16:41.140]  但是就是会担心说
[00:16:41.140 --> 00:16:43.120]  会不会在这一波的转换之后
[00:16:43.120 --> 00:16:44.440]  大家终于要躲进去台积电
[00:16:44.440 --> 00:16:45.020]  所以在前几天
[00:16:45.020 --> 00:16:45.980]  我自己也有去试着
[00:16:45.980 --> 00:16:46.740]  就把一些东西丢掉
[00:16:46.740 --> 00:16:47.560]  然后换进台积电
[00:16:47.560 --> 00:16:48.920]  当然台积电也是跟着吃回荡
[00:16:48.920 --> 00:16:49.960]  只是它回荡的幅度
[00:16:49.960 --> 00:16:50.800]  就没有大家大
[00:16:50.800 --> 00:16:52.640]  那可是在今天盘中
[00:16:52.640 --> 00:16:53.420]  就是刚才呢
[00:16:53.420 --> 00:16:54.400]  我想一想我又觉得
[00:16:54.400 --> 00:16:55.780]  因为又在这跟身边朋友讨论
[00:16:55.780 --> 00:16:56.080]  我就说
[00:16:56.080 --> 00:16:58.500]  我感觉就是TSM一定要上的
[00:16:58.500 --> 00:16:59.380]  可是问题是
[00:16:59.380 --> 00:17:01.000]  就感觉中小没有死透了
[00:17:01.000 --> 00:17:01.320]  所以呢
[00:17:01.320 --> 00:17:02.900]  就是本来买了蛮多的TSM
[00:17:02.900 --> 00:17:04.100]  又把它稍微再降一点点
[00:17:04.100 --> 00:17:05.080]  又再弄回去中小
[00:17:05.080 --> 00:17:06.540]  所以这一波操作
[00:17:06.540 --> 00:17:07.220]  我自己也觉得
[00:17:07.220 --> 00:17:09.100]  比较没有一个逻辑
[00:17:09.100 --> 00:17:10.780]  比较偏向是一个感受的东西
[00:17:10.780 --> 00:17:12.260]  就是前面你看到一些回荡产生
[00:17:12.260 --> 00:17:13.080]  那想说OK
[00:17:13.080 --> 00:17:14.120]  我要先躲进台积电
[00:17:14.120 --> 00:17:15.040]  就按照本来的规划
[00:17:15.040 --> 00:17:15.920]  可是当你发现说
[00:17:15.920 --> 00:17:17.800]  其实好像中小没有死掉的时候
[00:17:17.800 --> 00:17:18.500]  又把它拉出来
[00:17:18.500 --> 00:17:19.900]  就可能稍微的闪掉一点崩
[00:17:19.900 --> 00:17:20.340]  可是我觉得
[00:17:20.340 --> 00:17:21.580]  对整体的部位的影响不大
[00:17:21.580 --> 00:17:22.340]  反正该吃的回荡
[00:17:22.340 --> 00:17:23.160]  全部都还只有吃到
[00:17:23.160 --> 00:17:23.820]  那所以呢
[00:17:23.820 --> 00:17:25.600]  又再继续的先回去中小
[00:17:25.600 --> 00:17:26.700]  可能我要等到台积电
[00:17:26.700 --> 00:17:28.200]  这波再一次的往上过
[00:17:28.200 --> 00:17:29.960]  那个小波段的新高
[00:17:29.960 --> 00:17:30.620]  我就会再觉得说
[00:17:30.620 --> 00:17:31.340]  再去记录吧
[00:17:31.340 --> 00:17:32.860]  可是现阶段会觉得
[00:17:32.860 --> 00:17:33.800]  反正既然修正
[00:17:33.800 --> 00:17:34.780]  大家都一起来修正
[00:17:34.780 --> 00:17:35.920]  它也没有特别
[00:17:35.920 --> 00:17:37.520]  好像说很扛的感觉
[00:17:37.520 --> 00:17:38.260]  所以感觉
[00:17:38.260 --> 00:17:39.740]  我本来前一两天认为说
[00:17:39.740 --> 00:17:40.520]  垃圾盘会出现
[00:17:40.520 --> 00:17:41.260]  可是我现在看就觉得
[00:17:41.260 --> 00:17:42.340]  垃圾盘感觉不会出现
[00:17:42.340 --> 00:17:43.600]  所以就再一次的
[00:17:43.600 --> 00:17:45.360]  跑回去中小里面
[00:17:45.360 --> 00:17:46.760]  那接下来最近在市场上面
[00:17:46.760 --> 00:17:48.000]  偏向发哥的话题
[00:17:48.000 --> 00:17:48.600]  是比较多一点
[00:17:48.600 --> 00:17:50.000]  我们就简单的来讲一下
[00:17:50.000 --> 00:17:52.120]  那首先是发哥的涨价性
[00:17:52.120 --> 00:17:53.860]  这个应该蛮多人都有看到
[00:17:53.860 --> 00:17:54.660]  那再来就是新闻上
[00:17:54.660 --> 00:17:56.020]  已经有把它爆出来了
[00:17:56.020 --> 00:17:58.000]  那它并没有去载明说
[00:17:58.000 --> 00:18:00.080]  要去调涨的晶片的项目跟幅度
[00:18:00.080 --> 00:18:01.660]  所以一般我们就把这个视为
[00:18:01.660 --> 00:18:02.820]  是可能全产品线
[00:18:02.820 --> 00:18:04.440]  都有机会会去做调整
[00:18:04.440 --> 00:18:05.460]  那这个调整
[00:18:05.460 --> 00:18:06.660]  可能不会是一个军医价
[00:18:06.660 --> 00:18:07.680]  就可能也是按照说
[00:18:07.680 --> 00:18:08.320]  不同的客户
[00:18:08.320 --> 00:18:09.620]  会有不同的一个幅度
[00:18:09.620 --> 00:18:10.820]  就像是我们可能在被动元件
[00:18:10.820 --> 00:18:12.560]  所看到的一个现象一样
[00:18:12.560 --> 00:18:13.820]  那当然这件事情
[00:18:13.820 --> 00:18:16.020]  它对公司一定是一个加分项
[00:18:16.020 --> 00:18:17.200]  那很多人可能就吸反射
[00:18:17.200 --> 00:18:18.680]  就说那为什么股价也没有涨
[00:18:18.680 --> 00:18:19.940]  是不是利多出尽什么
[00:18:19.940 --> 00:18:20.580]  没有我觉得是因为
[00:18:20.580 --> 00:18:21.560]  前面真的涨很多
[00:18:21.560 --> 00:18:23.140]  就前面真的涨非常多
[00:18:23.140 --> 00:18:24.080]  所以后面的一些利多
[00:18:24.080 --> 00:18:24.920]  不一定推得上去
[00:18:24.920 --> 00:18:26.300]  就类似说可能像Invidia
[00:18:26.300 --> 00:18:27.260]  它有很多好消息
[00:18:27.260 --> 00:18:28.780]  那可是不一定推得上去
[00:18:28.780 --> 00:18:30.340]  因为毕竟就真的是已经推很多
[00:18:30.340 --> 00:18:31.240]  但有可能后面
[00:18:31.240 --> 00:18:32.980]  假设盘面的结构转变
[00:18:32.980 --> 00:18:35.500]  那市场开始喜欢大型股的话
[00:18:35.500 --> 00:18:36.660]  就有可能会把这个
[00:18:36.660 --> 00:18:38.500]  涨价性的故事就拿出来炒
[00:18:38.500 --> 00:18:39.660]  这个是有机会的
[00:18:39.660 --> 00:18:40.960]  那总之就是这个
[00:18:40.960 --> 00:18:43.000]  对于整个公司的财务素质来说
[00:18:43.000 --> 00:18:44.560]  我觉得就是一个加分项
[00:18:44.560 --> 00:18:46.400]  是一个蛮不错的讯号
[00:18:46.400 --> 00:18:48.420]  重点是说你涨得动客户
[00:18:48.420 --> 00:18:49.320]  客户给你涨
[00:18:49.320 --> 00:18:50.500]  这个就是一个好事情
[00:18:50.500 --> 00:18:51.440]  那再来就是
[00:18:51.440 --> 00:18:52.340]  大家应该有看到过敏期
[00:18:52.340 --> 00:18:53.240]  我去贴说
[00:18:53.240 --> 00:18:54.640]  联发科这边有一个
[00:18:54.640 --> 00:18:56.120]  新的晶片有拿到
[00:18:56.120 --> 00:18:57.340]  就Google要给它收了
